,user,TikTok,red_social,Youtube,Instagram
3,charli d’amelio,135400000.0,TikTok,,
6,Khabane lame,135200000.0,TikTok,,
31,Bella Poarch,88500000.0,TikTok,,
27,Addison Rae,87300000.0,TikTok,,
63,Will Smith,67400000.0,TikTok,,
22,Kimberly Loaiza,61000000.0,TikTok,,
280,dixie,57200000.0,TikTok,,
844,Loren Gray,54300000.0,TikTok,,
25,Dominik,50700000.0,TikTok,,
74,Kris HC,43300000.0,TikTok,,
0,T-Series,,Youtube,212100000.0,
1,Cocomelon - Nursery Rhymes,,Youtube,132100000.0,
2,SET India,,Youtube,130400000.0,
3,PewDiePie,,Youtube,111400000.0,
4,MrBeast,,Youtube,92500000.0,
5,✿ Kids Diana Show,,Youtube,92400000.0,
6,Like Nastya,,Youtube,90100000.0,
7,WWE,,Youtube,86900000.0,
8,Zee Music Company,,Youtube,82700000.0,
9,Vlad and Niki,,Youtube,80400000.0,
388,Instagram,,Instagram,,487200000.0
203,Cristiano Ronaldo,,Instagram,,419600000.0
510,Kylie Jenner,,Instagram,,323300000.0
532,Leo Messi,,Instagram,,315400000.0
814,Selena Gomez,,Instagram,,308200000.0
899,therock,,Instagram,,307000000.0
87,Ariana Grande,,Instagram,,302300000.0
494,Kim Kardashian,,Instagram,,296400000.0
126,Beyoncé,,Instagram,,246900000.0
489,Khloé Kardashian,,Instagram,,230200000.0
